ride_id,scooter_id,user_id,start_time,end_time,start_lat,start_lng,end_lat,end_lng,battery_level,user_rating
RIDE_000000,SCOOT_0048,USER_00448,2026-06-21 4:03:12,1782014832,40.7405° N,-73.938,40.742477,-73.933396,55,
RIDE_000001,SCOOT_0358,USER_00866,2026-06-08 18:23:57,06/08/2026 7:04 PM,40.711863,-74.006937,40.716601,-74.004634,1%,2
RIDE_000002,SCOOT_0275,USER_00256,1781172421,2026-06-11 10:19:01,40.710922,-74.00383,40.709532,-74.005227,34,4
RIDE_000003,SCOOT_0120,USER_00207,1782827215,06/30/2026 1:54 PM,40.705339,-74.026266,40.700164,-74.027952,99%,1
RIDE_000004,SCOOT_0274,USER_01494,2026-06-13 10:07:14,06/13/2026 10:39 AM,40.7411° N,73.9713° W,40.738419,-73.975552,10%,2
RIDE_000005,SCOOT_0017,USER_00647,1780898217,06/08/2026 6:28 AM,40.7187° N,74.0069° W,40.718865,-74.011177,100,
RIDE_000006,SCOOT_0072,USER_00506,1781343893,1781344313,40.710622,74.0056° W,40.707169,-74.004429,83,3
RIDE_000007,SCOOT_0025,USER_00225,06/24/2026 8:26 PM,1782334999,40.710397,-74.007167,40.708592,-74.00161,ERROR,
RIDE_000008,SCOOT_0349,USER_01477,06/05/2026 10:50 PM,06/05/2026 11:03 PM,40.7058° N,-74.029954,40.708298,-74.033617,71,1
RIDE_000009,SCOOT_0260,USER_00218,2026-06-04 19:33:01,06/04/2026 7:53 PM,40.765577,-74.0168,40.761593,-74.016203,34,2
RIDE_000010,SCOOT_0166,USER_01001,06/28/2026 10:45 PM,2026-06-28 23:07:59,40.7637° N,-73.964573,40.763322,-73.965476,68,5
RIDE_000011,SCOOT_0393,USER_00258,2026-06-01 4:04:22,2026-06-01 4:30:22,40.6596° N,-74.058897,40.658248,-74.055726,9%,5
RIDE_000012,SCOOT_0205,USER_01376,06/05/2026 5:18 PM,06/05/2026 5:56 PM,40.7142,-74.0131,40.715147,-74.014207,89,3
RIDE_000013,SCOOT_0363,USER_01293,2026-06-21 13:35:44,2026-06-21 14:06:44,40.769562,73.9590° W,40.772655,-73.956173,29,
RIDE_000014,SCOOT_0243,USER_00834,2026-06-02 8:20:07,2026-06-02 8:27:07,40.7446° N,-73.983784,40.745609,-73.980858,74,2
RIDE_000015,SCOOT_0373,USER_00695,06/07/2026 3:26 AM,06/07/2026 3:35 AM,40.7518° N,73.9813° W,40.748498,-73.984902,LOW,
RIDE_000016,SCOOT_0051,USER_00104,06/26/2026 3:58 AM,2026-06-26 4:16:42,40.71605,-74.000575,40.715834,-73.997564,10,5
RIDE_000017,SCOOT_0200,USER_00544,2026-06-21 19:40:55,06/21/2026 7:43 PM,40.737833,-73.948102,40.738917,-73.943488,49,
RIDE_000018,SCOOT_0030,USER_00103,06/30/2026 4:33 PM,06/30/2026 4:54 PM,40.748183,-73.936707,40.740324,-73.934241,95,3
RIDE_000019,SCOOT_0062,USER_01167,2026-06-19 17:21:33,1781891793,40.750641,-73.97398,40.750916,-73.979943,87%,4
RIDE_000020,SCOOT_0136,USER_00811,2026-06-08 21:04:40,06/08/2026 9:45 PM,40.7119° N,-74.004572,40.716355,-74.006126,86,2
RIDE_000021,SCOOT_0036,USER_00501,2026-06-05 23:30:07,06/05/2026 11:52 PM,40.7418° N,-73.995535,40.744576,-73.994549,65,3
RIDE_000022,SCOOT_0069,USER_00542,1781259753,06/12/2026 10:35 AM,40.7383,73.9577° W,40.738596,-73.954829,71,1
RIDE_000023,SCOOT_0048,USER_01300,2026-06-04 3:53:49,2026-06-04 4:31:49,40.709992,74.0073° W,40.708815,-74.011701,65,1
RIDE_000024,SCOOT_0039,USER_01416,1781431465,06/14/2026 10:09 AM,40.713984,74.0050° W,40.714,-74.00566,55%,1
RIDE_000025,SCOOT_0350,USER_00512,06/29/2026 5:25 AM,06/29/2026 6:02 AM,40.707139,-74.007683,40.70611,-74.010089,6,2
RIDE_000026,SCOOT_0092,USER_00681,1782099873,1782101373,40.7029,-74.000719,40.708533,-74.000195,23,1
RIDE_000027,SCOOT_0180,USER_00626,2026-06-26 14:59:24,1782488664,40.735751,-73.9367,40.729995,-73.936768,29,4
RIDE_000028,SCOOT_0170,USER_00057,2026-06-27 8:17:11,2026-06-27 8:34:11,40.713,-73.9961,40.712464,-73.995242,83,5
RIDE_000029,SCOOT_0131,USER_00091,2026-06-04 9:30:37,06/04/2026 9:44 AM,40.688506,74.0679° W,40.691934,-74.065618,66,1
RIDE_000030,SCOOT_0161,USER_01359,1782229954,1782230134,40.7647° N,-73.986188,40.768929,-73.990393,86,5
RIDE_000031,SCOOT_0316,USER_01166,2026-06-28 4:32:14,1782622454,40.7178° N,-73.964991,40.714866,-73.96669,49%,2
RIDE_000032,SCOOT_0243,USER_00348,2026-06-10 14:47:05,06/10/2026 3:25 PM,40.6912° N,74.0546° W,40.686541,-74.054364,57,5
RIDE_000033,SCOOT_0126,USER_00974,2026-06-22 3:05:14,1782098774,40.6793° N,73.9785° W,40.676496,-73.973878,26,five star
RIDE_000034,SCOOT_0399,USER_00871,2026-06-20 2:39:05,1781925065,40.684835,-73.994441,40.687275,-73.998134,1%,1
RIDE_000035,SCOOT_0314,USER_01474,2026-06-08 6:24:13,1780902013,40.753449,-73.9419,40.748627,-73.941303,72%,4
RIDE_000036,SCOOT_0249,USER_01284,06/29/2026 6:22 PM,2026-06-29 18:52:42,40.7541,-73.952364,40.750387,-73.956325,82,5
RIDE_000037,SCOOT_0362,USER_00439,2026-06-08 9:59:52,2026-06-08 10:30:52,40.714888,-74.004812,40.715639,-74.003773,30,2
RIDE_000038,SCOOT_0392,USER_01180,06/03/2026 3:06 PM,2026-06-03 15:35:17,40.7101,-74.005071,40.710959,-74.007214,90,
RIDE_000039,SCOOT_0250,USER_00450,1781371318,1781371498,40.7265,-74.035023,40.722942,-74.033054,70%,2
RIDE_000040,SCOOT_0014,USER_00807,2026-06-09 15:52:05,1781022365,40.708901,-74.002852,40.712377,-74.005314,17,5
RIDE_000041,SCOOT_0390,USER_00777,06/19/2026 8:32 PM,2026-06-19 21:17:55,40.716654,-74.004349,40.71912,-73.998658,28,3
RIDE_000042,SCOOT_0387,USER_00064,2026-06-09 15:20:55,06/09/2026 3:39 PM,40.7782,-73.986275,40.775524,-73.988722,100%,1
RIDE_000043,SCOOT_0311,USER_01472,2026-06-08 7:15:30,06/08/2026 7:19 AM,40.7291° N,-73.928377,40.729888,-73.925895,99%,5
RIDE_000044,SCOOT_0354,USER_01285,2026-06-04 5:57:45,2026-06-04 6:19:45,40.7129° N,-74.0002,40.712058,-73.992025,92,5
RIDE_000045,SCOOT_0332,USER_00699,1780890156,1780891476,40.7130° N,-74.005143,40.709801,-74.003696,85,5
RIDE_000046,SCOOT_0316,USER_01103,1780327057,06/01/2026 3:51 PM,40.7119,74.0031° W,40.713326,-74.003362,94,3
RIDE_000047,SCOOT_0313,USER_01369,2026-06-25 17:36:12,1782410892,40.6836,-74.018297,40.682225,-74.015728,32,5
RIDE_000048,SCOOT_0006,USER_01059,2026-06-13 12:14:52,2026-06-13 12:18:52,40.7657° N,-74.002515,40.766201,-74.001359,90,5
RIDE_000049,SCOOT_0114,USER_00829,06/07/2026 3:07 AM,2026-06-07 3:25:01,40.765423,73.9681° W,40.765597,-73.971554,3,
RIDE_000050,SCOOT_0129,USER_00473,06/23/2026 8:51 AM,06/23/2026 9:13 AM,40.768556,73.9664° W,40.771805,-73.963223,90,3
RIDE_000051,SCOOT_0306,USER_00580,06/04/2026 7:00 AM,1780557822,40.707289,-74.009751,40.708834,-74.00821,93,5
RIDE_000052,SCOOT_0327,USER_01006,2026-06-04 7:04:03,2026-06-04 7:25:03,40.71486,-73.990589,40.716573,-73.987182,N/A,2
RIDE_000053,SCOOT_0252,USER_00152,06/04/2026 12:26 AM,06/04/2026 1:05 AM,40.7166,-74.003394,40.71567,-74.001118,15,4
RIDE_000054,SCOOT_0116,USER_01071,1781909702,1781910062,40.709709,-74.006947,40.708253,-74.006702,54%,5
RIDE_000055,SCOOT_0321,USER_00433,06/13/2026 4:24 PM,06/13/2026 4:55 PM,40.7221° N,-74.013469,40.724117,-74.018307,LOW,2
RIDE_000056,SCOOT_0360,USER_00930,06/09/2026 2:57 AM,2026-06-09 3:10:21,40.710912,74.0016° W,40.711105,-74.004877,5,3
RIDE_000057,SCOOT_0031,USER_00340,06/03/2026 8:29 AM,1780476535,40.686194,-73.974408,40.684003,-73.973759,35%,1
RIDE_000058,SCOOT_0225,USER_00165,1782472319,06/26/2026 11:52 AM,40.701411,-74.001032,40.707843,-73.99913,35,4
RIDE_000059,SCOOT_0296,USER_00083,2026-06-20 1:27:04,2026-06-20 1:57:04,40.66,-73.9843,40.658012,-73.981714,3%,3
RIDE_000060,SCOOT_0171,USER_00658,1782368562,2026-06-25 6:55:42,40.7672° N,73.9735° W,40.768765,-73.970897,12,4
RIDE_000061,SCOOT_0130,USER_00663,1782100110,2026-06-22 4:01:30,40.708,-74.0073,40.706574,-74.009298,59%,
RIDE_000062,SCOOT_0390,USER_00106,06/04/2026 2:42 PM,06/04/2026 3:17 PM,40.783709,-73.9776,40.779926,-73.974847,97,4
RIDE_000063,SCOOT_0283,USER_00029,2026-06-07 9:43:23,1780827683,40.721289,-74.00187,40.716731,-74.003323,31%,3
RIDE_000064,SCOOT_0213,USER_00989,1781794276,2026-06-18 14:59:16,40.7179,74.0088° W,40.719199,-74.006507,92,3
RIDE_000065,SCOOT_0175,USER_01040,2026-06-16 8:52:26,06/16/2026 9:24 AM,40.6876° N,-74.009991,40.677838,-74.013064,99,4
RIDE_000066,SCOOT_0194,USER_00933,06/09/2026 12:05 AM,06/09/2026 12:26 AM,40.6954,-74.012956,40.700346,-74.017246,43,5
RIDE_000067,SCOOT_0198,USER_01360,06/30/2026 11:42 AM,2026-06-30 11:57:56,40.7218° N,-73.932585,40.726123,-73.936893,91%,4
RIDE_000068,SCOOT_0008,USER_01480,2026-06-26 23:44:21,1782518181,40.771663,-73.985495,40.768719,-73.984109,13,4
RIDE_000069,SCOOT_0195,USER_00649,06/05/2026 2:55 PM,1780673976,40.761981,73.9975° W,40.762191,-73.99866,43%,5
RIDE_000070,SCOOT_0228,USER_00341,2026-06-21 17:45:56,06/21/2026 6:22 PM,40.7133,-74.0034,40.718012,-74.007065,56%,1
RIDE_000071,SCOOT_0088,USER_00359,1782212051,2026-06-23 10:58:11,40.721332,-74.013808,40.720877,-74.012043,73,2
RIDE_000072,SCOOT_0239,USER_00590,06/03/2026 10:11 PM,06/03/2026 10:38 PM,40.73622,73.9477° W,40.735595,-73.949133,86,
RIDE_000073,SCOOT_0197,USER_00990,1782158043,1782158823,40.710443,-74.0026,40.711514,-74.00468,59%,2
RIDE_000074,SCOOT_0311,USER_01018,2026-06-04 8:38:11,1780563911,40.718492,-73.9819,40.720931,-73.979965,2,1
RIDE_000075,SCOOT_0322,USER_01324,2026-06-27 10:25:12,2026-06-27 10:42:12,40.74482,73.9888° W,40.747062,-73.986973,88,1
RIDE_000076,SCOOT_0272,USER_01028,06/02/2026 11:14 AM,2026-06-02 11:45:52,40.7127,-74.005531,40.716549,-74.007305,26,three
RIDE_000077,SCOOT_0073,USER_00463,1782813320,06/30/2026 10:08 AM,40.715,74.0068° W,40.714335,-74.003512,15,1
RIDE_000078,SCOOT_0327,USER_00761,1782656889,2026-06-28 15:06:09,40.716102,-74.002746,40.720018,-74.002683,87%,4
RIDE_000079,SCOOT_0333,USER_00837,1780561847,06/04/2026 9:03 AM,40.7155,-74.007241,40.7165,-74.007631,60,3
RIDE_000080,SCOOT_0215,USER_01203,1780549520,2026-06-04 5:10:20,40.69114,-74.032597,40.688685,-74.02632,48,5
RIDE_000081,SCOOT_0051,USER_01405,06/24/2026 5:37 AM,1782281193,40.76298,73.9955° W,40.766454,-73.993109,57,3
RIDE_000082,SCOOT_0011,USER_00104,06/12/2026 7:49 PM,2026-06-12 20:33:24,40.715296,-74.0035,40.71526,-74.006178,85,5
RIDE_000083,SCOOT_0306,USER_00006,2026-06-26 12:08:33,1782476793,40.7020° N,74.0015° W,40.704941,-74.001984,30,2
RIDE_000084,SCOOT_0136,USER_00108,2026-06-09 5:16:04,1780982824,40.69629,-74.012428,40.697529,-74.014119,76,2
RIDE_000085,SCOOT_0373,USER_01350,2026-06-05 15:19:36,06/05/2026 3:55 PM,40.709511,74.0050° W,40.710246,-74.006546,29,1
RIDE_000086,SCOOT_0042,USER_00660,2026-06-17 10:58:55,06/17/2026 11:30 AM,40.738979,73.9811° W,40.734635,-73.985281,57,
RIDE_000087,SCOOT_0221,USER_00204,06/20/2026 5:24 AM,06/20/2026 5:31 AM,40.7099° N,-74.006854,40.710859,-74.002428,38%,5
