station_id,timestamp,entries,exits
Stn_009,2026-06-21 2:00:00,73,68
Stn_010,2026-06-01 17:00:00,433,396
STN_009,2026-06-06 21:00:00,137,110
STN_001,2026-06-26 4:00:00,92,92
stn_009,2026-06-26 13:00:00,85,69
STN_009,2026-06-27 23:00:00,86,84
STN_008,2026-06-08 11:00:00,105,-90
Stn_010,2026-06-07 0:00:00,86,78
STN_006,2026-06-25 12:00:00,DEVICE_ERROR,79
stn_002,2026-06-02 16:00:00,253,247
STN_007,2026-06-16 1:00:00,81,79
STN_010,2026-06-15 17:00:00,418,428
Stn_010,2026-06-20 9:00:00,389,408
STN_002,2026-06-05 13:00:00,84,87
STN_003,2026-06-26 9:00:00,439,438
stn_003,2026-06-22 21:00:00,134,110
STN_010,2026-06-19 16:00:00,236,228
STN_005,2026-06-16 19:00:00,484,492
STN_007,2026-06-15 0:00:00,80,-82
STN_008,2026-06-10 3:00:00,74,65
stn_003,2026-06-08 1:00:00,DEVICE_ERROR,71
Stn_008,2026-06-08 3:00:00,85,78
stn_008,2026-06-19 21:00:00,126,126
STN_004,2026-06-17 10:00:00,257,246
Stn_001,2026-06-18 1:00:00,80,72
STN_004,2026-06-23 21:00:00,140,125
Stn_005,2026-06-14 21:00:00,141,139
STN_003,2026-06-23 23:00:00,74,75
Stn_002,2026-06-10 6:00:00,252,242
STN_002,2026-06-25 17:00:00,-383,387
stn_009,2026-06-04 15:00:00,137,125
stn_006,2026-06-12 10:00:00,232,211
stn_010,2026-06-21 3:00:00,93,97
stn_007,2026-06-23 10:00:00,219,184
STN_001,2026-06-14 4:00:00,93,94
stn_001,2026-06-06 21:00:00,145,143
stn_009,2026-06-15 8:00:00,-432,431
STN_007,2026-06-10 12:00:00,94,94
STN_004,2026-06-15 14:00:00,DEVICE_ERROR,68
stn_002,2026-06-02 18:00:00,-482,408
stn_002,2026-06-03 12:00:00,79,74
STN_008,2026-06-23 15:00:00,125,130
stn_004,2026-06-30 18:00:00,486,474
stn_002,2026-06-18 22:00:00,98,94
STN_001,2026-06-21 0:00:00,78,-66
STN_005,2026-06-15 0:00:00,92,77
STN_009,2026-06-30 21:00:00,109,101
STN_003,2026-06-19 9:00:00,433,390
stn_006,2026-06-17 0:00:00,82,68
STN_002,2026-06-06 3:00:00,93,76
STN_004,2026-06-19 11:00:00,115,115
STN_008,2026-06-27 14:00:00,90,79
STN_007,2026-06-17 16:00:00,DEVICE_ERROR,218
STN_001,2026-06-25 21:00:00,129,118
STN_005,2026-06-15 6:00:00,233,207
stn_005,2026-06-15 13:00:00,94,75
STN_004,2026-06-11 0:00:00,85,69
stn_009,2026-06-28 8:00:00,480,DEVICE_ERROR
STN_004,2026-06-22 0:00:00,82,72
STN_007,2026-06-14 8:00:00,435,381
STN_010,2026-06-06 0:00:00,69,DEVICE_ERROR
STN_007,2026-06-15 15:00:00,114,103
STN_006,2026-06-05 20:00:00,255,210
STN_001,2026-06-14 2:00:00,70,68
STN_009,2026-06-06 23:00:00,78,63
STN_006,2026-06-10 3:00:00,72,71
Stn_009,2026-06-15 23:00:00,88,DEVICE_ERROR
stn_002,2026-06-05 23:00:00,87,78
Stn_006,2026-06-04 8:00:00,437,438
Stn_008,2026-06-15 15:00:00,114,107
stn_002,2026-06-15 15:00:00,140,121
stn_007,2026-06-21 14:00:00,79,DEVICE_ERROR
STN_004,2026-06-10 10:00:00,219,182
STN_001,2026-06-14 17:00:00,395,332
stn_001,2026-06-15 22:00:00,97,89
STN_001,2026-06-13 14:00:00,82,80
STN_009,2026-06-02 14:00:00,79,80
stn_007,2026-06-27 22:00:00,88,80
stn_006,2026-06-04 2:00:00,76,68
STN_010,2026-06-12 6:00:00,253,-263
STN_006,2026-06-24 5:00:00,105,103
STN_004,2026-06-13 19:00:00,467,449
Stn_007,2026-06-02 18:00:00,484,427
STN_006,2026-06-08 17:00:00,487,437
Stn_004,2026-06-12 5:00:00,126,121
stn_002,2026-06-11 18:00:00,DEVICE_ERROR,-386
STN_009,2026-06-23 3:00:00,81,80
STN_005,2026-06-25 0:00:00,88,88
STN_010,2026-06-22 20:00:00,230,200
STN_007,2026-06-21 16:00:00,232,192
STN_010,2026-06-29 1:00:00,72,64
stn_006,2026-06-28 2:00:00,81,77
stn_006,2026-06-15 8:00:00,508,410
STN_006,2026-06-20 13:00:00,72,75
STN_006,2026-06-05 0:00:00,92,94
Stn_009,2026-06-05 4:00:00,79,70
stn_010,2026-06-26 1:00:00,84,77
STN_009,2026-06-15 4:00:00,98,86
STN_002,2026-06-07 0:00:00,68,59
STN_007,2026-06-04 15:00:00,141,127
Stn_003,2026-06-15 1:00:00,71,67
STN_010,2026-06-09 7:00:00,DEVICE_ERROR,465
STN_009,2026-06-06 22:00:00,93,97
STN_010,2026-06-18 22:00:00,94,93
STN_002,2026-06-15 17:00:00,455,-441
STN_007,2026-06-27 6:00:00,257,209
STN_002,2026-06-22 7:00:00,415,419
STN_003,2026-06-27 10:00:00,253,DEVICE_ERROR
stn_001,2026-06-02 22:00:00,90,79
stn_010,2026-06-28 12:00:00,98,82
STN_010,2026-06-15 22:00:00,-81,77
stn_003,2026-06-10 5:00:00,122,120
Stn_009,2026-06-28 18:00:00,567,590
STN_003,2026-06-15 4:00:00,100,83
STN_005,2026-06-01 23:00:00,80,73
stn_006,2026-06-14 11:00:00,136,109
STN_009,2026-06-06 8:00:00,549,491
STN_010,2026-06-04 23:00:00,82,81
STN_007,2026-06-22 22:00:00,78,-74
Stn_006,2026-06-25 1:00:00,92,-85
STN_010,2026-06-14 12:00:00,75,68
STN_006,2026-06-15 2:00:00,89,73
STN_009,2026-06-25 10:00:00,239,198
stn_003,2026-06-06 21:00:00,109,-105
stn_007,2026-06-19 5:00:00,DEVICE_ERROR,123
STN_008,2026-06-20 17:00:00,422,381
stn_002,2026-06-07 15:00:00,140,144
stn_001,2026-06-28 7:00:00,-341,-323
STN_007,2026-06-15 21:00:00,144,117
Stn_003,2026-06-07 6:00:00,231,209
stn_008,2026-06-18 16:00:00,268,255
STN_009,2026-06-23 8:00:00,474,400
STN_001,2026-06-03 6:00:00,213,196
stn_003,2026-06-20 11:00:00,119,116
Stn_006,2026-06-20 22:00:00,81,80
STN_001,2026-06-29 20:00:00,273,253
Stn_001,2026-06-26 2:00:00,76,67
STN_003,2026-06-03 13:00:00,82,84
STN_010,2026-06-09 20:00:00,241,204
STN_006,2026-06-24 2:00:00,81,75
Stn_009,2026-06-13 18:00:00,538,445
stn_010,2026-06-25 5:00:00,121,112
STN_003,2026-06-20 8:00:00,411,402
STN_006,2026-06-14 7:00:00,377,333
Stn_009,2026-06-02 10:00:00,242,226
stn_007,2026-06-09 4:00:00,89,72
stn_001,2026-06-27 21:00:00,119,104
Stn_009,2026-06-30 20:00:00,236,220
Stn_004,2026-06-07 19:00:00,458,373
stn_005,2026-06-11 22:00:00,83,69
Stn_009,2026-06-15 18:00:00,451,442
STN_002,2026-06-13 10:00:00,261,220
stn_006,2026-06-24 4:00:00,90,73
STN_005,2026-06-16 7:00:00,370,360
STN_010,2026-06-20 3:00:00,-69,69
Stn_007,2026-06-10 3:00:00,91,93
STN_008,2026-06-25 22:00:00,96,95
stn_008,2026-06-15 19:00:00,465,383
STN_007,2026-06-13 0:00:00,74,70
stn_001,2026-06-10 14:00:00,88,70
STN_007,2026-06-25 3:00:00,79,-67
stn_010,2026-06-07 13:00:00,DEVICE_ERROR,85
Stn_002,2026-06-29 3:00:00,83,83
stn_002,2026-06-14 2:00:00,69,57
STN_001,2026-06-28 9:00:00,404,414
STN_001,2026-06-09 3:00:00,81,82
STN_009,2026-06-30 12:00:00,91,74
Stn_006,2026-06-09 17:00:00,430,391
stn_005,2026-06-15 2:00:00,69,67
STN_002,2026-06-29 5:00:00,119,98
STN_004,2026-06-23 15:00:00,120,100
STN_009,2026-06-01 7:00:00,434,381
Stn_002,2026-06-19 12:00:00,89,85
STN_002,2026-06-07 1:00:00,83,81
stn_003,2026-06-12 9:00:00,-353,DEVICE_ERROR
Stn_006,2026-06-11 0:00:00,91,94
Stn_008,2026-06-20 15:00:00,123,121
STN_008,2026-06-10 12:00:00,94,DEVICE_ERROR
STN_004,2026-06-08 3:00:00,70,67
stn_008,2026-06-29 1:00:00,69,71
STN_006,2026-06-07 8:00:00,486,433
STN_006,2026-06-04 6:00:00,243,213
stn_003,2026-06-05 19:00:00,404,355
STN_004,2026-06-18 16:00:00,259,249
STN_010,2026-06-22 16:00:00,213,-195
Stn_004,2026-06-01 23:00:00,91,94
STN_007,2026-06-13 9:00:00,383,367
stn_001,2026-06-02 18:00:00,554,501
stn_006,2026-06-08 2:00:00,79,72
STN_002,2026-06-04 10:00:00,254,239
STN_003,2026-06-20 13:00:00,-86,69
Stn_001,2026-06-22 12:00:00,DEVICE_ERROR,69
Stn_008,2026-06-16 13:00:00,83,73
STN_003,2026-06-24 2:00:00,84,84
STN_010,2026-06-19 9:00:00,373,-343
stn_010,2026-06-16 2:00:00,86,75
STN_004,2026-06-17 4:00:00,90,79
STN_003,2026-06-04 11:00:00,107,110
stn_004,2026-06-08 4:00:00,100,96
STN_005,2026-06-10 14:00:00,84,81
stn_007,2026-06-15 2:00:00,76,64
stn_009,2026-06-28 1:00:00,86,83
STN_009,2026-06-07 14:00:00,91,87
STN_007,2026-06-02 20:00:00,210,174
STN_004,2026-06-11 2:00:00,81,76
stn_010,2026-06-29 17:00:00,422,438
STN_002,2026-06-18 0:00:00,69,65
Stn_002,2026-06-23 1:00:00,76,DEVICE_ERROR
stn_009,2026-06-15 9:00:00,392,364
STN_009,2026-06-12 15:00:00,146,123
STN_008,2026-06-13 21:00:00,141,144
stn_009,2026-06-10 14:00:00,80,73
stn_010,2026-06-04 14:00:00,101,88
stn_005,2026-06-22 18:00:00,453,430
STN_008,2026-06-21 22:00:00,79,69
STN_007,2026-06-12 23:00:00,82,83
